BlockListIteration.thisRepN,BlockListIteration.thisTrialN,BlockListIteration.thisN,BlockListIteration.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,keyPressRun.keys,keyPressRun.rt,keyPressTrial.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,188.37253910000436,,,,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
,,,,,,,,,,space,11.190374000012525,,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,0,0,0,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,1,0,1,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,2,0,2,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,3,0,3,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,4,0,4,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,5,0,5,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,6,0,6,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
0,0,0,0,7,0,7,0,,,,,None,,001,2019_Feb_25_1217,untitled,3.0.1,60.08293848681276,
,,,,,,,,,,,,None,,,,,,,
